Width;Height;Density;Growth-ring width;Test span;Dynamic E;Bending strength;source_file;source_row
100,72;39,95;495,76;2,20;1120,00;13002,00;82,85;Size_C;15
101,06;39,52;491,98;2,14;1120,00;12449,00;87,94;Size_C;16
100,84;39,52;496,84;1,79;1120,00;13614,00;83,18;Size_C;17
100,99;40,25;493,05;1,46;1120,00;13431,00;72,07;Size_C;18
101,18;39,97;493,74;1,22;1120,00;13257,00;88,29;Size_C;19
100,88;40,15;490,25;1,21;1120,00;12677,00;76,66;Size_C;20
101,26;39,36;605,26;1,15;1120,00;17923,00;96,53;Size_C;21
100,89;39,80;593,69;1,18;1120,00;16572,00;86,11;Size_C;22
101,37;39,87;540,21;1,30;1120,00;13764,00;97,14;Size_C;23
101,08;39,44;530,42;1,30;1120,00;14553,00;97,36;Size_C;24
100,82;40,34;538,61;1,32;1120,00;15539,00;99,94;Size_C;25
101,04;39,94;478,07;2,51;1120,00;11002,00;72,99;Size_C;26
