Specimen;Length;Width;Height;Volume;Mass;Density;Moisture content;Dried mass;Dried density;Growth-ring angle A;Growth-ring angle B;Growth-ring angle;Growth-ring width A;Growth-ring width B;Growth-ring width;Test span;Test velocity;Time to failure;Ultimate force;Displacement at failure;Bending strength;Number of knots;Average knots diameter;Frequency;Dynamic modulus of elasticity;Force increment;Displacement increment;Elasticity modulus;Failure position;KAR at failure point;Notes;;;
[-];[mm];[mm];[mm];[mm³];[g];[kg/m³];[%];[g];[kg/m³];[°];[°];[°];[mm];[mm];[mm];[mm];[mm/min];[S];[N];[mm];[N/mm²];[-];[mm];[Hz];[N/mm²];[N];[mm];[N/mm²];[mm];[-];;;;
Pretest (F2);1200.00;101.23;40.15;4877261.40;2435.60;499.38;11.50;2177.49;446.46;6.00;8.00;7.00;1.78;1.98;1.88;1120.00;36.00;85.72;8977.00;51.43;92.42;11.00;5.67;;;2693.00;9.57;15085.25;600.00;0.000935;A crack along one side;;;
SE-13-F2;1200.00;101.18;39.97;4852997.52;2396.10;493.74;13.00;2112.74;435.35;43.00;35.00;39.00;1.22;1.22;1.22;1120.00;34.00;83.59;8495.00;47.37;88.29;11.00;6.80;2158.00;13257.00;2549.00;9.51;14570.90;555.70;0.192008;It has the pit in the middle;;;
SE-14-F2;1200.00;100.88;40.15;4860398.40;2382.80;490.25;12.60;2107.99;433.71;29.00;20.00;24.50;1.09;1.34;1.21;1120.00;34.00;76.14;7421.00;43.15;76.66;16.00;4.60;2116.00;12677.00;2226.00;8.62;13894.76;521.80;0.182798;;;;
SE-15-F2;1200.00;101.26;39.36;4782712.32;2894.80;605.26;12.80;2554.52;534.12;28.00;24.00;26.00;1.21;1.09;1.15;1120.00;34.00;70.84;9014.00;40.14;96.53;9.00;8.10;2254.00;17923.00;2704.00;8.35;18420.91;594.00;0.061219;It had cracks in the compressive side;;;
SE-16-F2;1200.00;100.89;39.80;4818506.40;2860.70;593.69;12.70;2526.44;524.32;22.00;22.00;22.00;1.15;1.21;1.18;1120.00;34.00;50.89;8191.00;28.84;86.11;10.00;6.41;2208.00;16572.00;2457.00;7.61;17826.26;638.80;0.155304;It had multiple cracks in the compressive side of up to 10mm depth.;;;
SE-17-F2;1200.00;101.37;39.87;4849946.28;2620.00;540.21;12.50;2328.89;480.19;22.00;22.00;22.00;1.33;1.27;1.30;1120.00;33.00;106.49;9317.00;58.57;97.14;18.00;5.83;2096.00;13764.00;2795.00;10.58;14442.49;;;;;;
SE-18-F2;1200.00;101.08;39.44;4783914.24;2537.50;530.42;12.00;2265.63;473.59;25.00;23.00;24.00;1.27;1.32;1.30;1120.00;33.00;92.25;9112.00;50.74;97.36;11.00;7.52;2162.00;14553.00;2734.00;9.76;15865.98;;;;;;
SE-19-F2;1200.00;100.82;40.34;4880494.56;2628.70;538.61;12.20;2342.87;480.05;22.00;22.00;22.00;1.34;1.29;1.32;1120.00;33.00;92.62;9760.00;50.94;99.94;13.00;7.34;2222.00;15539.00;2928.00;9.99;15554.11;;;;;;
SE-20-F2;1200.00;101.04;39.94;4842645.12;2315.10;478.07;13.30;2043.34;421.95;24.00;49.00;36.50;2.38;2.63;2.51;1120.00;33.00;92.89;7003.00;51.09;72.99;32.00;3.87;2000.00;11002.00;2101.00;9.99;11474.59;;;;;;
Averages:;1200;101;40;4823519;2441;506;13;2154;447;24;23;23;2;2;1.72;1120;34;84;8319;47;87;13;6;2154;13600;2496;9;14633;;;Damage can be observed on the compresive side before or after damage is developed in the tensile side. No noise is associated with the compressive but with the tensile damage.;;;
Samples:;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;26;25;25;26;26;26;;;;;;
SD:;0;0;0;35133;216;45;1;195;40;10;9;9;0;1;0.48;0;1;16;860;9;9;6;1;78;1954;258;1;1779;;;;;;
