experiment;number_of_samples;final_mse;final_rmse;final_mae;final_r2;mean_error;average_mse;std_mse;average_rmse;std_rmse
Normal LR - Original Dataset;99;54,583949912021666;7,388095147737451;5,877995650836932;0,6337493906440428;-0,11131032023252924;54,583949912021666;79,45644029609949;5,877995650836932;4,475837021246839
Normal LR - Dataset Without Top 5 High-Error Specimens;94;39,55117993811532;6,28897288419304;5,167892666881481;0,7128745109353953;-0,08854470372112554;39,55117993811532;51,63413956067668;5,167892666881481;3,5838617888679716
