fold;original_index;true_value;predicted_value;error;absolute_error;squared_error;Width;Height;Density;Growth-ring width;Test span;Dynamic E
53;52;77,28;82,68935870606633;-5,409358706066328;5,409358706066328;29,26116161089558;50,0;20,0;431,0;1,75;560,0;11763,0
8;7;97,37;92,08796834179003;5,282031658209974;5,282031658209974;27,8998584383324;14,99;6,05;478,25;1,88;168,0;15358,52
84;83;89,52;94,62498465712275;-5,104984657122756;5,104984657122756;26,060868349458744;100,65;39,87;528,88;1,26;1120,0;14224,0
33;32;84,26;79,29749470065991;4,962505299340094;4,962505299340094;24,62645884597852;14,86;5,71;492,67;3,27;168,0;10087,14
49;48;78,25;83,06536890398297;-4,8153689039829715;4,8153689039829715;23,187777681446164;50,0;20,0;441,93;1,97;560,0;12009,0
37;36;112,16;107,5337297267346;4,626270273265391;4,626270273265391;21,402376641299032;14,93;5,78;564,22;1,61;168,0;19790,13
19;18;100,19;95,6381608199722;4,551839180027798;4,551839180027798;20,719239920836138;15,02;5,93;490,06;1,46;168,0;16019,43
54;53;82,03;86,14494032304954;-4,114940323049538;4,114940323049538;16,932733862259038;50,0;20,0;452,0;1,66;560,0;12304,0
27;26;97,58;93,47365484396727;4,106345156032731;4,106345156032731;16,86207054047347;14,74;5,8;492,58;1,89;168,0;14953,07
66;65;104,71;100,69228554134217;4,017714458657821;4,017714458657821;16,142029471308106;50,0;20,0;529,95;1,04;560,0;14446,0
50;49;78,79;82,75053546182389;-3,9605354618238806;3,9605354618238806;15,685841144364499;50,0;20,0;440,5;2,0;560,0;12034,0
99;98;72,99;76,77364252971391;-3,783642529713916;3,783642529713916;14,31595079265992;101,04;39,94;478,07;2,51;1120,0;11002,0
69;68;90,47;94,11615210392684;-3,6461521039268376;3,6461521039268376;13,294425164970106;50,0;20,0;508,33;1,73;560,0;13791,0
20;19;99,18;102,7633584681092;-3,5833584681091963;3,5833584681091963;12,840457910969887;14,95;5,96;514,48;0,96;168,0;16695,87
48;47;74,72;78,27463217836427;-3,5546321783642725;3,5546321783642725;12,635409923462733;50,0;20,0;439,6;2,88;560,0;12054,0
34;33;110,07;106,68761069434788;3,3823893056521115;3,3823893056521115;11,440557414989772;14,74;5,99;570,27;1,47;168,0;15802,14
73;72;78,04;81,09890513153988;-3,0589051315398734;3,0589051315398734;9,35690060376097;50,0;20,0;448,75;2,56;560,0;12234,0
11;10;103,27;106,31119484491596;-3,041194844915964;3,041194844915964;9,248866084743433;14,9;5,78;524,88;0,73;168,0;18214,39
9;8;88,32;85,38702906589867;2,93297093410132;2,93297093410132;8,60231850028317;14,86;5,96;452,31;1,87;168,0;11792,66
22;21;90,23;87,35910741330873;2,8708925866912693;2,8708925866912693;8,242024244318888;14,96;6,08;481,05;2,2;168,0;11923,5
51;50;75,26;78,11624902546734;-2,856249025467335;2,856249025467335;8,1581584954831;50,0;20,0;437,17;2,82;560,0;11944,0
21;20;95,83;98,56595587529691;-2,7359558752969093;2,7359558752969093;7,485454551571677;15,05;6,2;522,37;1,47;168,0;13897,33
46;45;105,59;108,13448776046597;-2,5444877604659695;2,5444877604659695;6,474417963161125;49,93;19,99;558,76;1,31;560,0;18579,96
86;85;85,53;87,96800842409014;-2,4380084240901425;2,4380084240901425;5,9438850759345;100,77;40,05;499,48;1,5;1120,0;12387,0
28;27;103,09;105,52485534294242;-2,434855342942413;2,434855342942413;5,9285205410552155;15,01;6,16;541,73;1,31;168,0;17255,49
35;34;116,7;118,97303993178899;-2,2730399317889862;2,2730399317889862;5,166710531507279;14,94;5,39;630,97;1,66;168,0;24145,24
83;82;80,6;82,87186092971741;-2,2718609297174197;2,2718609297174197;5,161352083976499;101,1;39,17;501,92;1,78;1120,0;14118,0
68;67;77,28;79,49543654861552;-2,2154365486155143;2,2154365486155143;4,908159100941422;50,0;20,0;434,83;2,45;560,0;11808,0
81;80;89,0;91,20679374978587;-2,2067937497858736;2,2067937497858736;4,869938654093997;100,4;40,02;486,21;1,14;1120,0;13331,0
44;43;81,24;83,42763350319971;-2,18763350319972;2,18763350319972;4,78574034432188;14,92;5,91;506,0;3,52;168,0;12069,34
18;17;91,08;89,07580321605522;2,004196783944778;2,004196783944778;4,01680474877459;14,97;6,08;464,23;2,09;168,0;14759,68
98;97;99,94;98,00020478487721;1,9397952151227855;1,9397952151227855;3,762805476613254;100,82;40,34;538,61;1,32;1120,0;15539,0
67;66;101,68;99,80707650007571;1,8729234999242976;1,8729234999242976;3,5078424365686804;50,0;20,0;529,28;1,22;560,0;14446,0
31;30;101,48;103,34268668348552;-1,8626866834855207;1,8626866834855207;3,4696016808342884;14,98;5,97;535,16;1,45;168,0;17419,49
59;58;109,62;107,86614168529773;1,7538583147022706;1,7538583147022706;3,076018988050289;50,0;20,0;572,88;0,88;560,0;15530,0
2;1;81,64;83,23959102516423;-1,59959102516423;1,59959102516423;2,5586914477859524;15,52;6,0;451,31;1,69;168,0;12021,06
88;87;82,85;84,38136952699239;-1,5313695269923926;1,5313695269923926;2,3450926282009044;100,72;39,95;495,76;2,2;1120,0;13002,0
85;84;106,94;105,44599021325747;1,4940097867425237;1,4940097867425237;2,2320652428824412;101,35;39,82;615,31;1,06;1120,0;17797,0
92;91;88,29;86,83304825210881;1,4569517478911962;1,4569517478911962;2,122708395683212;101,18;39,97;493,74;1,22;1120,0;13257,0
32;31;83,19;81,79362355180578;1,3963764481942178;1,3963764481942178;1,949867185071499;15,13;5,73;432,47;1,97;168,0;13518,47
