Dataset;Number of specimens;MSE;RMSE;MAE;R2;MAPE (%);Mean error
Final Model - Training Dataset;99;47,18113351541831;6,868852416191391;5,4815339799861675;0,6834212451099856;6,27018910396302;2,0383246157158428e-14
External Generalization Dataset;25;127,2263859046337;11,279467447740327;7,774791156981767;0,3158976089879889;10,427716824017796;-6,517855639797931
