fold;original_index;current_position;true_value;predicted_value;physics_prediction;error;absolute_error;squared_error;rmse;physics_residual;physics_residual_squared;learned_ultimate_force;final_total_loss;final_data_loss;final_physics_loss;Width;Height;Density;Growth-ring width;Test span;Dynamic E
92;96;91;97,36;89,42825853828182;0,399614842784826;7,931741461718175;7,931741461718175;62,912522615539174;7,931741461718175;89,028643695497;7926,0993982597565;37,39998041660513;52,79756515099842;34,19745693512184;4650,027053969145;101,08;39,44;530,42;1,3;1120,0;14553,0
5;5;4;79,18;86,89763240767043;29,597383126024134;-7,717632407670422;7,717632407670422;59,56184997992475;7,717632407670422;57,300249281646295;3283,318567738807;66,53571851074545;51,92444815243053;34,28963982757065;4408,702081214968;15,58;6,03;457,39;1,27;168,0;13194,19
62;64;61;102,82;95,11428042357834;4,233041638598696;7,705719576421657;7,705719576421657;59,37811419044797;7,705719576421657;90,88123878497964;8259,399563092487;100,78670568092133;59,967309429760604;34,23416940683848;6433,28500573053;50,0;20,0;512,0;1,68;560,0;13882,0
3;2;2;77,41;85,10153414200157;137,7343992836327;-7,691534142001572;7,691534142001572;59,15969745757586;7,691534142001572;-52,63286514163114;2770,2184930171306;307,8122329675779;51,871533659467374;34,26789002627567;4400,910908297926;15,54;6,02;455,58;1,67;168,0;13364,81
55;57;54;93,07;85,91590290359674;1,4563684312135945;7,154097096403248;7,154097096403248;51,181105264765385;7,154097096403248;84,45953447238315;7133,412963291678;34,67543883841891;53,17706865040371;34,299220293130595;4719,462089318279;50,0;20,0;464,39;1,97;560,0;12686,0
73;75;72;83,99;90,94267535249585;1,5748416264839893;-6,952675352495859;6,952675352495859;48,33969455720342;6,952675352495859;89,36783372601187;7986,609704880104;146,77971663807455;58,04677126681075;34,09299262768546;5988,444659781322;99,85;39,6;501,0;1,93;1120,0;14261,0
44;46;43;67,91;74,68613857323628;1,986530747683031;-6,776138573236281;6,776138573236281;45,91605396370063;6,776138573236281;72,69960782555324;5285,2329779892425;47,298351135310256;63,23568504055092;34,293988616990966;7235,424105889989;50,0;20,0;421,83;3,16;560,0;11491,0
35;37;34;108,69;102,01097812507845;39,419132835575006;6,6790218749215455;6,6790218749215455;44,609333205680514;6,6790218749215455;62,591845289503446;3917,7390967451347;81,24176908323406;61,106631773140535;34,376639801942595;6682,4979927994855;14,92;5,9;565,84;1,67;168,0;13602,1
75;77;74;83,26;76,65094706679307;0,30159630926006525;6,609052933206939;6,609052933206939;43,67958067393125;6,609052933206939;76,349350757533;5829,223361096805;28,775160249212703;53,794666410310796;34,44175992398587;4838,226621581231;100,18;40,0;434,43;2,41;1120,0;11224,0
57;59;56;87,28;93,53490434440124;4,454790294149106;-6,25490434440124;6,25490434440124;39,123828357609504;6,25490434440124;89,08011405025213;7935,266719205928;106,06643557497871;50,72122411037833;34,286503729623455;4108,680095188718;50,0;20,0;487,17;1,11;560,0;13251,0
39;41;38;110,89;116,98708071262575;85,51923335074454;-6,097080712625754;6,097080712625754;37,174393216272975;6,097080712625754;31,467847361881212;990,2254175906544;147,29870862689006;58,24801039135116;34,35270152614787;5973,827216300823;14,83;5,41;626,08;1,64;168,0;21553,35
94;98;93;72,99;79,0586096022997;2,977035415710848;-6,068609602299702;6,068609602299702;36,828022505124146;6,068609602299702;76,08157418658885;5788,405930709423;285,61708212137637;53,5279339957288;34,411967551923595;4778,9916109513015;101,04;39,94;478,07;2,51;1120,0;11002,0
81;83;80;89,52;95,47009395362174;0,36310371909960937;-5,950093953621746;5,950093953621746;35,40361805692606;5,950093953621746;95,10699023452213;9045,339591469488;34,580213159985725;53,18070146476119;34,323537601222434;4714,290965884689;100,65;39,87;528,88;1,26;1120,0;14224,0
7;7;6;97,37;91,4770879165414;30,101939442480443;5,8929120834586115;5,8929120834586115;34,72641282337251;5,8929120834586115;61,37514847406095;3766,908850213026;65,53998219946993;62,08188972101662;34,42190828609376;6914,995358730715;14,99;6,05;478,25;1,88;168,0;15358,52
69;71;68;102,77;96,91533641021374;11,598020065974522;5,854663589786256;5,854663589786256;34,27708574956889;5,854663589786256;85,31731634423922;7279,044468182989;276,14333490415527;53,76641622189334;34,48047909768939;4821,484281050987;50,0;20,0;515,31;1,38;560,0;14040,0
18;18;17;100,19;94,40774932589997;110,9516806467954;5,782250674100027;5,782250674100027;33,43442285813021;5,782250674100027;-16,543931320895425;273,70166355050463;232,54802943151967;55,427270403743506;34,43725007947417;5247,505081067335;15,02;5,93;490,06;1,46;168,0;16019,43
12;12;11;102,22;96,48436631589902;14,298560693690003;5,735633684100975;5,735633684100975;32,897493758193725;5,735633684100975;82,18580562220902;6754,506645771523;31,194563424881046;53,90429475227478;34,41155209655693;4873,185663929462;15,07;6,04;506,04;1,79;168,0;16273,65
79;81;78;88,59;82,90811995250256;1,050814459026526;5,681880047497444;5,681880047497444;32,28376087414956;5,681880047497444;81,85730549347603;6700,618462652262;99,50784666234905;50,948674024854284;34,43927243019202;4127,350398665566;100,99;39,69;491,04;2,11;1120,0;14031,0
84;86;83;85,74;80,57499943561689;2,6481650718065057;5,1650005643831065;5,1650005643831065;26,677230830077807;5,1650005643831065;77,92683436381039;6072,5915139647395;254,95780538275093;54,70144458688537;34,48715059085769;5053,573499006921;100,99;40,02;470,95;2,29;1120,0;12661,0
37;39;36;81,36;76,27704062910298;139,62045129208965;5,082959370897015;5,082959370897015;25,83647596618978;5,082959370897015;-63,34341066298667;4012,3876744197732;307,181060275484;51,96451382327273;34,52979773815458;4358,679021279539;14,9;6,1;455,26;3,37;168,0;8676,87
26;26;25;97,58;92,55598092332023;98,76677171584429;5,024019076679764;5,024019076679764;25,240767682842186;5,024019076679764;-6,210790792524051;38,57392226850153;194,340711570157;50,527201817221034;34,53862843261838;3997,1433461506635;14,74;5,8;492,58;1,89;168,0;14953,07
41;43;40;81,24;86,13357380883171;119,28817556135452;-4,893573808831718;4,893573808831718;23,94706462248377;4,893573808831718;-33,15460175252281;1099,2276173683886;246,6838060570724;55,190885674660265;34,53991960358164;5162,741517769657;14,92;5,91;506,0;3,52;168,0;12069,34
34;36;33;112,16;107,44860205841847;118,56163043615862;4,711397941581524;4,711397941581524;22,19727056393862;4,711397941581524;-11,11302837774015;123,49939972445787;234,67082860219043;55,39519613108604;34,5760200165277;5204,794028639584;14,93;5,78;564,22;1,61;168,0;19790,13
91;95;90;97,14;92,66703347970932;0,35383713313139703;4,472966520290683;4,472966520290683;20,00742949164134;4,472966520290683;92,31319634657793;8521,726219721848;33,938765704800105;64,28792296479898;34,555537128655274;7433,096459035927;101,37;39,87;540,21;1,3;1120,0;13764,0
66;68;65;90,47;94,52313222354603;9,981738530123003;-4,053132223546029;4,053132223546029;16,42788082154718;4,053132223546029;84,54139369342303;7147,247247626347;237,66044119340484;50,31896168431553;34,56356468052867;3938,849250946715;50,0;20,0;508,33;1,73;560,0;13791,0
8;8;7;88,32;84,26700028800283;23,43884822196563;4,05299971199716;4,05299971199716;16,42680666544906;4,05299971199716;60,828152066037205;3700,064083768946;49,096106786827065;63,371424531854586;34,63104262809555;7185,09547593976;14,86;5,96;452,31;1,87;168,0;11792,66
50;52;49;77,28;81,31213325177875;1,0687579306757171;-4,032133251778745;4,032133251778745;16,25809856009984;4,032133251778745;80,24337532110303;6438,999282923407;25,44661739704088;54,34501860666556;34,570843490482254;4943,543779045827;50,0;20,0;431,0;1,75;560,0;11763,0
71;73;70;92,42;88,44909932931184;0,5972069903278198;3,9709006706881667;3,9709006706881667;15,768052136471733;3,9709006706881667;87,85189233898402;7717,954987540438;58,00907453358252;52,155857803074966;34,57683399162691;4394,755952862013;101,23;40,15;499,38;1,88;1120,0;15059,81
46;48;45;78,25;82,20932901029624;12,46157120932666;-3,959329010296244;3,959329010296244;15,676286211773437;3,959329010296244;69,74775780096958;4864,749718262713;296,7040764125395;53,117595072577856;34,57615081100384;4635,361065393504;50,0;20,0;441,93;1,97;560,0;12009,0
63;65;62;104,71;100,79737946589783;0,9918860527922989;3,9126205341021603;3,9126205341021603;15,308599443877874;3,9126205341021603;99,80549341310554;9961,136515433453;23,61633459029283;54,45827000514915;34,65782656210792;4950,110860760308;50,0;20,0;529,95;1,04;560,0;14446,0
30;31;29;83,19;79,36899964485202;86,15361215400888;3,821000355147973;3,821000355147973;14,600043714040936;3,821000355147973;-6,784612509156858;46,030966899407716;169,83262487537402;57,86221988874476;34,63172146596087;5807,624605695971;15,13;5,73;432,47;1,97;168,0;13518,47
45;47;44;74,72;78,51355188083978;1,5500037404823162;-3,793551880839786;3,793551880839786;14,391035872623076;3,793551880839786;76,96354814035747;5923,387742353122;36,90485096386467;53,42847918634537;34,613603435408734;4703,718937734159;50,0;20,0;439,6;2,88;560,0;12054,0
83;85;82;85,53;89,31498766418022;2,8414717495640276;-3,784987664180221;3,784987664180221;14,326131617996447;3,784987664180221;86,4735159146162;7477,668954635381;273,3822794025548;54,11291157501128;34,60075526665534;4878,039077088984;100,77;40,05;499,48;1,5;1120,0;12387,0
20;20;19;95,83;99,56236284742317;26,476559068737778;-3,7323628474231754;3,7323628474231754;13,930532424824833;3,7323628474231754;73,0858037786854;5341,534713976505;60,78282502208062;52,48263805269129;34,62820970921811;4463,607085868295;15,05;6,2;522,37;1,47;168,0;13897,33
31;32;30;84,26;80,82780137760497;42,63575447988697;3,4321986223950347;3,4321986223950347;11,779987383570374;3,4321986223950347;38,192046897718;1458,6324462374912;81,97179358411098;51,86006421673861;34,67339338543323;4296,667707826344;14,86;5,71;492,67;3,27;168,0;10087,14
42;44;41;100,14;96,89347940004987;74,37537976844098;3,2465205999501308;3,2465205999501308;10,539896005900557;3,2465205999501308;22,51809963160889;507,06481101906445;166,3673119888349;57,906820628318016;34,65566076773603;5812,789965145495;15,05;6,12;538,15;2,81;168,0;15429,13
85;87;84;82,85;86,07386980130278;0,4093354424271045;-3,223869801302783;3,223869801302783;10,393336495752045;3,223869801302783;85,66453435887567;7338,41244692299;39,16691382478103;64,06975291598943;34,64785129839346;7355,475404398992;100,72;39,95;495,76;2,2;1120,0;13002,0
51;53;50;82,03;85,18459503092888;2,352553601066826;-3,154595030928874;3,154595030928874;9,951469809161145;3,154595030928874;82,83204142986204;6861,147087438382;56,013180977781566;52,40105891855083;34,63111049500024;4442,487105887647;50,0;20,0;452,0;1,66;560,0;12304,0
70;72;69;78,04;81,18342531290824;7,3352487380136076;-3,143425312908235;3,143425312908235;9,881122697832236;3,143425312908235;73,84817657489464;5453,553183436817;174,64877947651445;50,49098876999697;34,643157334984096;3961,957858753218;50,0;20,0;448,75;2,56;560,0;12234,0
47;49;46;78,79;81,89929635673724;3,2887227848112457;-3,1092963567372323;3,1092963567372323;9,667723834019426;3,1092963567372323;78,610573571926;6179,62227730719;78,3029234478868;51,711157963261556;34,64921774531461;4265,485054486738;50,0;20,0;440,5;2,0;560,0;12034,0
27;27;26;103,09;106,14169011774844;85,209323744935;-3,0516901177484357;3,0516901177484357;9,312812574763461;3,0516901177484357;20,932366372813433;438,16396196569065;192,58776553804776;50,67726164951087;34,676170399915584;4000,2728123988204;15,01;6,16;541,73;1,31;168,0;17255,49
43;45;42;105,59;108,57968733122615;2,300737090362193;-2,9896873312261505;2,9896873312261505;8,938230338494142;2,9896873312261505;106,27895024086396;11295,215264300039;54,6480742084825;62,80201530295299;34,64033712645589;7040,419544124275;49,93;19,99;558,76;1,31;560,0;18579,96
48;50;47;75,26;78,24929838982122;6,7519494907335575;-2,989298389821215;2,989298389821215;8,935904863387709;2,989298389821215;71,49734889908767;5111,870899597872;160,76070216032278;58,201498158445204;34,667048797566906;5883,612340219574;50,0;20,0;437,17;2,82;560,0;11944,0
33;34;32;116,7;119,23284017534758;105,29793050489127;-2,532840175347573;2,532840175347573;6,415279353854725;2,532840175347573;13,934909670456307;194,18170752377668;181,36247040439682;50,74819884632463;34,70274304633737;4011,3639499968153;14,94;5,39;630,97;1,66;168,0;24145,24
17;17;16;91,08;88,60544370532433;13,39686900370591;2,474556294675665;2,474556294675665;6,123428855518957;2,474556294675665;75,20857470161842;5656,329708648917;29,41925894654268;54,34579682108799;34,70379604910515;4910,50019299571;14,97;6,08;464,23;2,09;168,0;14759,68
19;19;18;99,18;101,58957746675968;77,85389674792751;-2,4095774667596714;2,4095774667596714;5,806063568315955;2,4095774667596714;23,73568071883217;563,3825391863413;164,06408703127644;50,82532643439453;34,69994692546642;4031,344877232028;14,95;5,96;514,48;0,96;168,0;16695,87
21;21;20;90,23;87,96113005122423;50,4025714003285;2,268869948775773;2,268869948775773;5,147770844457779;2,268869948775773;37,55855865089573;1410,6453279327748;110,60911177214297;51,35644930181556;34,71412760075706;4160,580425264624;14,96;6,08;481,05;2,2;168,0;11923,5
32;33;31;110,07;107,81770572982757;141,58734451190773;2,2522942701724276;2,2522942701724276;5,072829479451548;2,2522942701724276;-33,769638782080165;1140,3885034721727;297,14951387528527;53,076859608343966;34,731253928413636;4586,401419982583;14,74;5,99;570,27;1,47;168,0;15802,14
78;80;77;89,0;91,08870692986613;3,2196971370339793;-2,0887069298661345;2,0887069298661345;4,362696638870813;2,0887069298661345;87,86900979283216;7720,962881972834;308,17231520492186;51,69685252567926;34,69338912156;4250,8658510298155;100,4;40,02;486,21;1,14;1120,0;13331,0
82;84;81;106,94;108,77514794230314;0,42113533675889986;-1,8351479423031378;1,8351479423031378;3,367767970139441;1,8351479423031378;108,35401260554424;11740,59204772244;40,28456389993721;53,06765021076015;34,75023139178939;4579,354704742688;101,35;39,82;615,31;1,06;1120,0;17797,0
65;67;64;77,28;79,1052834605049;12,774935774925353;-1,8252834605048918;1,8252834605048918;3,331659711192713;1,8252834605048918;66,33034768557954;4399,715024089867;304,1651374982227;51,49772161502396;34,72678836281352;4192,73331305261;50,0;20,0;434,83;2,45;560,0;11808,0
