fold;original_index;current_position;true_value;predicted_value;error;absolute_error;squared_error;rmse;final_physics_penalty;constraint_violations;Width;Height;Density;Growth-ring width;Test span;Dynamic E;Density_constraint_violated;Dynamic_E_constraint_violated;Growth_ring_width_constraint_violated;Height_constraint_violated;Test_span_constraint_violated;Width_constraint_violated
12;11;11;108,88;101,14516736357753;7,7348326364224675;7,7348326364224675;59,82763591346614;7,7348326364224675;293,5025102680033;2;15,03;5,86;528,5;1,44;168,0;16838,68;False;False;False;True;True;False
72;71;71;102,77;95,5604235858396;7,209576414160395;7,209576414160395;51,97799207161786;7,209576414160395;271,5554986311178;2;50,0;20,0;515,31;1,38;560,0;14040,0;False;False;False;True;True;False
40;39;39;81,36;74,52139985579201;6,838600144207987;6,838600144207987;46,766451932361505;6,838600144207987;287,18752833710147;2;14,9;6,1;455,26;3,37;168,0;8676,87;False;False;False;True;True;False
89;88;88;87,94;81,56955739625737;6,370442603742632;6,370442603742632;40,5825389675792;6,370442603742632;324,2217464231689;2;101,06;39,52;491,98;2,14;1120,0;12449,0;False;False;False;True;True;False
45;44;44;100,14;94,1302421832084;6,0097578167916055;6,0097578167916055;36,117189016487806;6,0097578167916055;280,23427304974047;2;15,05;6,12;538,15;2,81;168,0;15429,13;False;False;False;True;True;False
60;59;59;87,28;93,23333680026569;-5,953336800265689;5,953336800265689;35,44221905739771;5,953336800265689;296,501642495093;2;50,0;20,0;487,17;1,11;560,0;13251,0;False;False;False;True;True;False
47;46;46;67,91;73,78871544507419;-5,878715445074192;5,878715445074192;34,55929528415386;5,878715445074192;293,34456596712295;2;50,0;20,0;421,83;3,16;560,0;11491,0;False;False;False;True;True;False
87;86;86;85,74;80,00350340800003;5,736496591999966;5,736496591999966;32,907393150027225;5,736496591999966;296,0858472366644;2;100,99;40,02;470,95;2,29;1120,0;12661,0;False;False;False;True;True;False
42;41;41;110,89;116,62145006967735;-5,731450069677351;5,731450069677351;32,84951990120451;5,731450069677351;282,28314873671525;2;14,83;5,41;626,08;1,64;168,0;21553,35;False;False;False;True;True;False
83;82;82;80,6;86,2673628831806;-5,667362883180601;5,667362883180601;32,11900204965314;5,667362883180601;247,60985749639553;2;101,1;39,17;501,92;1,78;1120,0;14118,0;False;False;False;True;True;False
13;12;12;102,22;96,59348277688237;5,626517223117631;5,626517223117631;31,657696062039335;5,626517223117631;287,0140909052731;2;15,07;6,04;506,04;1,79;168,0;16273,65;False;False;False;True;True;False
79;78;78;64,96;70,33714862378619;-5,377148623786198;5,377148623786198;28,9137273222858;5,377148623786198;316,85573921172494;2;100,04;40,19;408,75;2,61;1120,0;9165,0;False;False;False;True;True;False
66;65;65;104,71;99,33843682702302;5,371563172976977;5,371563172976977;28,85369092128249;5,371563172976977;274,61821889046064;2;50,0;20,0;529,95;1,04;560,0;14446,0;False;False;False;True;True;False
8;7;7;97,37;92,12632639054961;5,243673609450397;5,243673609450397;27,496112922446557;5,243673609450397;286,3360632858624;2;14,99;6,05;478,25;1,88;168,0;15358,52;False;False;False;True;True;False
99;98;98;72,99;78,18456456697308;-5,194564566973085;5,194564566973085;26,983501040452275;5,194564566973085;278,4452227234712;2;101,04;39,94;478,07;2,51;1120,0;11002,0;False;False;False;True;True;False
97;96;96;97,36;92,32141392189192;5,038586078108082;5,038586078108082;25,387349666504587;5,038586078108082;317,63906066744136;2;101,08;39,44;530,42;1,3;1120,0;14553,0;False;False;False;True;True;False
37;36;36;112,16;107,40441794225171;4,755582057748285;4,755582057748285;22,615560707977412;4,755582057748285;286,70884022496494;2;14,93;5,78;564,22;1,61;168,0;19790,13;False;False;False;True;True;False
84;83;83;89,52;94,24724368764603;-4,7272436876460375;4,7272436876460375;22,346832882389307;4,7272436876460375;292,2406839102033;2;100,65;39,87;528,88;1,26;1120,0;14224,0;False;False;False;True;True;False
53;52;52;77,28;81,9850719465318;-4,7050719465318025;4,7050719465318025;22,137702022040564;4,7050719465318025;291,1070081874086;2;50,0;20,0;431,0;1,75;560,0;11763,0;False;False;False;True;True;False
34;33;33;110,07;105,36886373889882;4,701136261101169;4,701136261101169;22,10068214544028;4,701136261101169;277,08711742402085;2;14,74;5,99;570,27;1,47;168,0;15802,14;False;False;False;True;True;False
82;81;81;88,59;83,96300200725653;4,626997992743469;4,626997992743469;21,40911042485209;4,626997992743469;304,75170846798875;2;100,99;39,69;491,04;2,11;1120,0;14031,0;False;False;False;True;True;False
74;73;73;92,42;87,8221481706305;4,597851829369503;4,597851829369503;21,140241444836487;4,597851829369503;294,2861803815991;2;101,23;40,15;499,38;1,88;1120,0;15059,81;False;False;False;True;True;False
76;75;75;83,99;88,5107492533153;-4,5207492533153015;4,5207492533153015;20,437173811350856;4,5207492533153015;305,0386080310267;2;99,85;39,6;501,0;1,93;1120,0;14261,0;False;False;False;True;True;False
27;26;26;97,58;93,23906305845594;4,340936941544058;4,340936941544058;18,84373353046188;4,340936941544058;287,9209791459433;2;14,74;5,8;492,58;1,89;168,0;14953,07;False;False;False;True;True;False
19;18;18;100,19;96,0384061694404;4,151593830559591;4,151593830559591;17,235731333940457;4,151593830559591;290,6356837205233;2;15,02;5,93;490,06;1,46;168,0;16019,43;False;False;False;True;True;False
2;1;1;81,64;85,78492156327744;-4,144921563277435;4,144921563277435;17,18037476572226;4,144921563277435;270,1616647003934;2;15,52;6,0;451,31;1,69;168,0;12021,06;False;False;False;True;True;False
7;6;6;76,05;80,13690469764396;-4,086904697643959;4,086904697643959;16,702790007624262;4,086904697643959;265,22399400704535;2;15,62;5,97;429,36;1,94;168,0;10444,71;False;False;False;True;True;False
33;32;32;84,26;80,2085031727492;4,051496827250801;4,051496827250801;16,41462654122331;4,051496827250801;296,208202126912;2;14,86;5,71;492,67;3,27;168,0;10087,14;False;False;False;True;True;False
49;48;48;78,25;82,30106083928376;-4,051060839283764;4,051060839283764;16,411093923578473;4,051060839283764;291,34779992957266;2;50,0;20,0;441,93;1,97;560,0;12009,0;False;False;False;True;True;False
96;95;95;97,14;93,09588703292569;4,044112967074312;4,044112967074312;16,354849690458597;4,044112967074312;305,8200158365617;2;101,37;39,87;540,21;1,3;1120,0;13764,0;False;False;False;True;True;False
59;58;58;109,62;106,14663553749527;3,4733644625047333;3,4733644625047333;12,064260689390794;3,4733644625047333;276,7895299133252;2;50,0;20,0;572,88;0,88;560,0;15530,0;False;False;False;True;True;False
20;19;19;99,18;102,62124204487561;-3,441242044875608;3,441242044875608;11,842146811419656;3,441242044875608;288,69548232095224;2;14,95;5,96;514,48;0,96;168,0;16695,87;False;False;False;True;True;False
54;53;53;82,03;85,31081649306793;-3,280816493067931;3,280816493067931;10,763756861186558;3,280816493067931;290,7415495899614;2;50,0;20,0;452,0;1,66;560,0;12304,0;False;False;False;True;True;False
67;66;66;101,68;98,45545353992175;3,2245464600782583;3,2245464600782583;10,397699873203226;3,2245464600782583;279,30265549702534;2;50,0;20,0;529,28;1,22;560,0;14446,0;False;False;False;True;True;False
50;49;49;78,79;81,99376579033705;-3,2037657903370445;3,2037657903370445;10,264115239333947;3,2037657903370445;290,3654137983827;2;50,0;20,0;440,5;2,0;560,0;12034,0;False;False;False;True;True;False
11;10;10;103,27;106,35861466164802;-3,0886146616480232;3,0886146616480232;9,539540528147134;3,0886146616480232;286,3635552781905;2;14,9;5,78;524,88;0,73;168,0;18214,39;False;False;False;True;True;False
98;97;97;99,94;96,89141925414424;3,0485807458557588;3,0485807458557588;9,293844564002454;3,0485807458557588;279,51034154991356;2;100,82;40,34;538,61;1,32;1120,0;15539,0;False;False;False;True;True;False
22;21;21;90,23;87,3522302073791;2,87776979262091;2,87776979262091;8,281558979321396;2,87776979262091;287,35479550934866;2;14,96;6,08;481,05;2,2;168,0;11923,5;False;False;False;True;True;False
90;89;89;83,18;86,03580568919581;-2,8558056891958046;2,8558056891958046;8,155626134443125;2,8558056891958046;279,34948240946477;2;100,84;39,52;496,84;1,79;1120,0;13614,0;False;False;False;True;True;False
35;34;34;116,7;119,52886171660577;-2,828861716605772;2,828861716605772;8,002458611677755;2,828861716605772;284,2277217228663;2;14,94;5,39;630,97;1,66;168,0;24145,24;False;False;False;True;True;False
9;8;8;88,32;85,51836369605462;2,801636303945372;2,801636303945372;7,849165979584686;2,801636303945372;289,34795259066044;2;14,86;5,96;452,31;1,87;168,0;11792,66;False;False;False;True;True;False
48;47;47;74,72;77,50124662666872;-2,781246626668718;2,781246626668718;7,735332798356124;2,781246626668718;290,45572901869065;2;50,0;20,0;439,6;2,88;560,0;12054,0;False;False;False;True;True;False
69;68;68;90,47;92,90669521892677;-2,436695218926772;2,436695218926772;5,93748358994059;2,436695218926772;291,8371134866865;2;50,0;20,0;508,33;1,73;560,0;13791,0;False;False;False;True;True;False
44;43;43;81,24;83,6425999503882;-2,4025999503882076;2,4025999503882076;5,772486521605417;2,4025999503882076;287,13583930076464;2;14,92;5,91;506,0;3,52;168,0;12069,34;False;False;False;True;True;False
21;20;20;95,83;98,18679063889442;-2,3567906388944238;2,3567906388944238;5,554462115580386;2,3567906388944238;290,54730338478646;2;15,05;6,2;522,37;1,47;168,0;13897,33;False;False;False;True;True;False
86;85;85;85,53;87,79214316437393;-2,2621431643739243;2,2621431643739243;5,117291696123671;2,2621431643739243;291,07070537861614;2;100,77;40,05;499,48;1,5;1120,0;12387,0;False;False;False;True;True;False
73;72;72;78,04;80,28350778114194;-2,243507781141929;2,243507781141929;5,0333271640443815;2,243507781141929;289,8435942673912;2;50,0;20,0;448,75;2,56;560,0;12234,0;False;False;False;True;True;False
51;50;50;75,26;77,36701408743015;-2,1070140874301444;2,1070140874301444;4,439508364629084;2,1070140874301444;289,41868452650806;2;50,0;20,0;437,17;2,82;560,0;11944,0;False;False;False;True;True;False
18;17;17;91,08;89,04736092223398;2,032639077766021;2,032639077766021;4,1316216204615;2,032639077766021;286,94319496591976;2;14,97;6,08;464,23;2,09;168,0;14759,68;False;False;False;True;True;False
55;54;54;100,17;98,225749669394;1,9442503306059962;1,9442503306059962;3,7801093480615253;1,9442503306059962;282,69312744345893;2;50,0;20,0;517,97;0,95;560,0;14134,0;False;False;False;True;True;False
77;76;76;91,21;89,29123099554072;1,9187690044592784;1,9187690044592784;3,6816744924736504;1,9187690044592784;284,70844373627943;2;100,57;40,09;497,6;1,76;1120,0;14951,0;False;False;False;True;True;False
28;27;27;103,09;104,79863705967634;-1,7086370596763345;1,7086370596763345;2,9194406016993897;1,7086370596763345;291,05695165506586;2;15,01;6,16;541,73;1,31;168,0;17255,49;False;False;False;True;True;False
31;30;30;101,48;103,13335507442564;-1,6533550744256331;1,6533550744256331;2,7335830021289906;1,6533550744256331;288,840109401308;2;14,98;5,97;535,16;1,45;168,0;17419,49;False;False;False;True;True;False
68;67;67;77,28;78,78004170970969;-1,5000417097096914;1,5000417097096914;2,250125130868774;1,5000417097096914;288,42961336517465;2;50,0;20,0;434,83;2,45;560,0;11808,0;False;False;False;True;True;False
88;87;87;82,85;84,2993316897997;-1,4493316897997062;1,4493316897997062;2,1005623470576715;1,4493316897997062;290,2792892011674;2;100,72;39,95;495,76;2,2;1120,0;13002,0;False;False;False;True;True;False
61;60;60;87,15;85,70291453548879;1,4470854645112183;1,4470854645112183;2,0940563415996487;1,4470854645112183;284,9105094796537;2;50,0;20,0;454,33;1,62;560,0;12349,0;False;False;False;True;True;False
57;56;56;95,38;94,09605126702705;1,283948732972945;1,283948732972945;1,6485243489028312;1,283948732972945;283,9359492420026;2;50,0;20,0;513,31;1,64;560,0;13995,0;False;False;False;True;True;False
10;9;9;94,63;95,86891756621233;-1,2389175662123364;1,2389175662123364;1,5349167358694988;1,2389175662123364;287,95767780483266;2;15,06;6,05;496,9;1,7;168,0;15875,67;False;False;False;True;True;False
23;22;22;92,26;91,1556537048999;1,1043462951001004;1,1043462951001004;1,219580739501318;1,1043462951001004;287,19550887427596;2;14,97;6,19;481,59;1,31;168,0;10995,04;False;False;False;True;True;False
14;13;13;98,92;98,1333863123878;0,7866136876122027;0,7866136876122027;0,6187610935388681;0,7866136876122027;287,1900516500932;2;14,86;6,0;502,75;1,3;168,0;15324,74;False;False;False;True;True;False
81;80;80;89,0;89,6588639863671;-0,6588639863670949;0,6588639863670949;0,4341017525315394;0,6588639863670949;291,4767420363523;2;100,4;40,02;486,21;1,14;1120,0;13331,0;False;False;False;True;True;False
32;31;31;83,19;83,77275253244868;-0,58275253244868;0,58275253244868;0,3396005140753498;0,58275253244868;285,6114224175338;2;15,13;5,73;432,47;1,97;168,0;13518,47;False;False;False;True;True;False
43;42;42;70,27;70,84170406335488;-0,5717040633548862;0,5717040633548862;0,32684553605648775;0,5717040633548862;287,4261395948668;2;14,89;6,09;417,9;3,04;168,0;6991,54;False;False;False;True;True;False
85;84;84;106,94;107,45903262579782;-0,51903262579782;0,51903262579782;0,2693948666425798;0,51903262579782;288,3312572973773;2;101,35;39,82;615,31;1,06;1120,0;17797,0;False;False;False;True;True;False
46;45;45;105,59;106,05289285815044;-0,4628928581504397;0,4628928581504397;0,21426979812668306;0,4628928581504397;288,44256095351375;2;49,93;19,99;558,76;1,31;560,0;18579,96;False;False;False;True;True;False
92;91;91;88,29;88,5171456334244;-0,2271456334243993;0,2271456334243993;0,05159513878377159;0,2271456334243993;289,1710109815958;2;101,18;39,97;493,74;1,22;1120,0;13257,0;False;False;False;True;True;False
63;62;62;82,61;82,83002787991228;-0,2200278799122799;0,2200278799122799;0,04841226793869267;0,2200278799122799;286,948228699839;2;50,0;20,0;439,93;1,8;560,0;12009,0;False;False;False;True;True;False
26;25;25;107,74;107,81531472151396;-0,07531472151396201;0,07531472151396201;0,0056723072767256525;0,07531472151396201;287,69701669516894;2;15,26;5,82;549,49;1,03;168,0;19084,85;False;False;False;True;True;False
