experiment;number_of_samples;physics_lambda;final_mse;final_rmse;final_mae;final_r2;mean_error;physics_residual_mse;average_force_ultimate;std_force_ultimate;average_fold_mse;std_fold_mse;average_absolute_error;std_absolute_error
Physics-Informed LR - Original Dataset;99;0,004;54,58183451884481;7,38795198406465;5,887273826401348;0,6337635846340581;0,11240967614652345;5388,797055263767;136,97075019157393;98,14354889960599;54,58183451884481;78,44152651123198;5,887273826401348;4,463389005208311
Physics-Informed LR - Without Top 5 High-Error Specimens;94;0,004;39,554998000019054;6,289276428971703;5,155338434241621;0,7128467933579905;0,1466930776548854;5082,084578367859;151,2031049113591;100,632409589556;39,554998000019054;51,117438828217644;5,155338434241621;3,6024274633155646
