fold;original_index;current_position;true_value;predicted_value;physics_prediction;error;absolute_error;squared_error;rmse;physics_residual;physics_residual_squared;learned_ultimate_force;final_total_loss;final_data_loss;final_physics_loss;Width;Height;Density;Growth-ring width;Test span;Dynamic E
6;5;5;79,18;87,70500876530289;21,504111620656367;-8,525008765302886;8,525008765302886;72,67577444849103;8,525008765302886;66,20089714464652;4382,558782756068;48,34182507025725;75,6490178849563;47,229753303758834;7104,816145299364;15,58;6,03;457,39;1,27;168,0;13194,19
97;96;96;97,36;88,93997441427531;2,272476072034933;8,420025585724687;8,420025585724687;70,89683086425836;8,420025585724687;86,66749834224038;7511,255268902239;212,68119071611585;62,42399003386455;47,13063858574782;3823,3378620291824;101,08;39,44;530,42;1,3;1120,0;14553,0
65;64;64;102,82;94,41150074571101;11,987929640340592;8,408499254288984;8,408499254288984;70,70285970937839;8,408499254288984;82,42357110537041;6793,645073762053;285,4268961985855;63,03761192530565;47,16187049477942;3968,935357631556;50,0;20,0;512,0;1,68;560,0;13882,0
3;2;2;77,41;85,7909963524186;14,73704004049981;-8,380996352418606;8,380996352418606;70,24109985925398;8,380996352418606;71,0539563119188;5048,664707576065;32,934700596163296;66,24175379824621;47,25451994483811;4746,808463352023;15,54;6,02;455,58;1,67;168,0;13364,81
12;11;11;108,88;100,55386058005078;62,23835830353293;8,326139419949214;8,326139419949214;69,32459764043224;8,326139419949214;38,315502276517854;1468,0777147018448;127,47111961057139;71,28643435682983;47,073837539965;6053,149204216207;15,03;5,86;528,5;1,44;168,0;16838,68
38;37;37;108,69;100,49383337586367;17,192387063698565;8,196166624136325;8,196166624136325;67,17714733060623;8,196166624136325;83,30144631216511;6939,130957698527;35,43304581672706;65,99885793725423;47,181496866347544;4704,3402677266695;14,92;5,9;565,84;1,67;168,0;13602,1
79;78;78;64,96;73,08274553453727;0,47972694257110915;-8,122745534537273;8,122745534537273;65,97899501884521;8,122745534537273;72,60301859196616;5271,1983086653845;46,14179908891641;75,5532880775859;46,97173536046173;7145,3881792810425;100,04;40,19;408,75;2,61;1120,0;9165,0
30;29;29;93,91;85,81223586015437;33,08639850481518;8,097764139845623;8,097764139845623;65,57378406456972;8,097764139845623;52,725837355339195;2780,013924821682;72,22807114559059;64,20054119333322;47,083107473230974;4279,358430025561;14,98;6,06;467,12;2,11;168,0;11960,53
52;51;51;94,37;86,91475205566672;1,3147536085328648;7,45524794433328;7,45524794433328;55,5807219114856;7,45524794433328;85,59999844713386;7327,359734149319;31,30365734602059;66,11863800381933;47,30902889886501;4702,402276238579;50,0;20,0;460,17;1,64;560,0;12529,0
87;86;86;85,74;78,55447118229428;0,287394003668265;7,185528817705716;7,185528817705716;51,63182439007931;7,185528817705716;78,26707717862601;6125,735370085001;27,669477720827288;66,3217160738147;47,20046546747895;4780,312651583938;100,99;40,02;470,95;2,29;1120,0;12661,0
